epoch	train_loss	train_acc	val_loss	val_acc	status
0	0.5838	69.25	0.5389	72.89	improved
1	0.5361	73.16	0.5212	73.77	improved
2	0.5177	74.48	0.5089	74.67	improved
3	0.5072	75.35	0.4967	75.49	improved
4	0.4999	75.63	0.4925	75.59	improved
5	0.4918	76.38	0.4813	76.82	improved
6	0.4859	76.61	0.4772	77.03	improved
7	0.4812	76.94	0.4722	77.28	improved
8	0.4759	77.32	0.4731	77.09	no improvement 1
9	0.4722	77.55	0.4601	78.12	improved
10	0.4665	78.08	0.4599	78.28	improved
11	0.4647	78.23	0.461	77.84	no improvement 1
12	0.4605	78.42	0.4525	78.55	improved
13	0.4569	78.52	0.4475	79	improved
14	0.4542	78.84	0.4443	79.17	improved
15	0.4517	78.79	0.4458	78.97	no improvement 1
16	0.4496	79.06	0.4359	79.72	improved
17	0.447	79.29	0.4375	79.56	no improvement 1
18	0.4423	79.38	0.4313	80.07	improved
19	0.4416	79.67	0.4282	80.09	improved
20	0.4396	79.63	0.4305	79.95	no improvement 1
21	0.4381	79.91	0.4213	80.55	improved
22	0.4361	79.85	0.4228	80.68	no improvement 1
23	0.4341	79.94	0.4219	80.47	no improvement 2
24	0.4326	80	0.4216	80.56	no improvement 3
25	0.2426	89.9	0.1165	95.49	improved
26	0.1194	95.4	0.0535	97.93	improved
27	0.0829	96.91	0.039	98.58	improved
28	0.0645	97.6	0.0498	98.02	no improvement 1
29	0.053	98.04	0.0311	98.91	improved
30	0.0437	98.41	0.0254	99.08	improved
31	0.038	98.59	0.0367	98.69	no improvement 1
32	0.0341	98.78	0.0248	99.14	improved
33	0.0307	98.89	0.0162	99.38	improved
34	0.0259	99.07	0.0155	99.46	improved
35	0.025	99.1	0.0162	99.44	no improvement 1
36	0.0227	99.19	0.0159	99.5	no improvement 2
37	0.021	99.26	0.0137	99.49	improved
38	0.0193	99.31	0.0142	99.52	no improvement 1
39	0.0182	99.34	0.0117	99.64	improved
40	0.0169	99.39	0.012	99.55	no improvement 1
41	0.0172	99.38	0.024	99.23	no improvement 2
42	0.0163	99.45	0.0115	99.6	improved
43	0.0152	99.45	0.0099	99.63	improved
44	0.0139	99.52	0.0123	99.61	no improvement 1
45	0.0136	99.5	0.0227	99.28	no improvement 2
46	0.0132	99.54	0.0088	99.72	improved
47	0.0123	99.58	0.0107	99.66	no improvement 1
48	0.0124	99.56	0.0146	99.54	no improvement 2
49	0.0115	99.59	0.0085	99.7	improved
50	0.0111	99.6	0.0111	99.62	no improvement 1
51	0.0107	99.61	0.0114	99.61	no improvement 2
52	0.0101	99.66	0.0074	99.76	improved
53	0.0103	99.64	0.0202	99.36	no improvement 1
54	0.0099	99.67	0.0107	99.65	no improvement 2
55	0.0085	99.71	0.0101	99.66	no improvement 3
56	0.0103	99.64	0.0087	99.74	no improvement 4
57	0.0088	99.71	0.0112	99.7	no improvement 5
58	0.0083	99.68	0.0097	99.69	no improvement 6
59	0.0087	99.7	0.0151	99.56	no improvement 7
60	0.0077	99.74	0.0077	99.75	no improvement 8
61	0.0094	99.66	0.0125	99.62	no improvement 9
62	0.0085	99.72	0.0065	99.77	improved
63	0.008	99.72	0.0146	99.62	no improvement 1
64	0.007	99.75	0.0084	99.73	no improvement 2
65	0.0071	99.75	0.0105	99.7	no improvement 3
66	0.0065	99.78	0.0098	99.7	no improvement 4
67	0.0066	99.78	0.0096	99.77	no improvement 5
68	0.0071	99.75	0.0078	99.79	no improvement 6
69	0.0068	99.77	0.007	99.8	no improvement 7
70	0.0068	99.77	0.0085	99.76	no improvement 8
71	0.0063	99.78	0.0067	99.78	no improvement 9
72	0.0067	99.78	0.0079	99.73	no improvement 10
73	0.0065	99.78	0.0068	99.75	no improvement 11
74	0.0063	99.78	0.0088	99.74	no improvement 12
75	0.0061	99.8	0.0062	99.77	improved
76	0.006	99.79	0.0072	99.74	no improvement 1
77	0.0061	99.78	0.0134	99.58	no improvement 2
78	0.0058	99.81	0.0081	99.77	no improvement 3
79	0.0048	99.83	0.0071	99.78	no improvement 4
80	0.0049	99.83	0.0088	99.72	no improvement 5
81	0.0052	99.81	0.0065	99.79	no improvement 6
82	0.0053	99.81	0.0109	99.63	no improvement 7
83	0.0046	99.84	0.007	99.78	no improvement 8
84	0.005	99.84	0.0067	99.81	no improvement 9
85	0.0043	99.86	0.0062	99.86	no improvement 10
86	0.0046	99.86	0.0046	99.84	improved
87	0.0048	99.83	0.0053	99.82	no improvement 1
88	0.0048	99.83	0.0071	99.76	no improvement 2
89	0.0045	99.86	0.0055	99.87	no improvement 3
90	0.0045	99.85	0.0063	99.83	no improvement 4
91	0.0047	99.84	0.0078	99.74	no improvement 5
92	0.0052	99.84	0.0059	99.83	no improvement 6
93	0.0041	99.88	0.0086	99.72	no improvement 7
94	0.0044	99.86	0.008	99.73	no improvement 8
95	0.0037	99.88	0.0068	99.83	no improvement 9
96	0.0042	99.87	0.0074	99.75	no improvement 10
97	0.004	99.86	0.0049	99.88	no improvement 11
98	0.0044	99.85	0.0078	99.74	no improvement 12
99	0.0039	99.86	0.0045	99.89	improved
100	0.0034	99.88	0.0058	99.83	no improvement 1
101	0.0039	99.87	0.0064	99.8	no improvement 2
102	0.0037	99.88	0.0057	99.83	no improvement 3
103	0.0038	99.87	0.0064	99.8	no improvement 4
104	0.0033	99.88	0.0061	99.83	no improvement 5
105	0.0031	99.9	0.0095	99.77	no improvement 6
106	0.0038	99.88	0.0042	99.89	improved
107	0.0033	99.88	0.0082	99.77	no improvement 1
108	0.0034	99.88	0.0075	99.8	no improvement 2
109	0.003	99.89	0.0063	99.83	no improvement 3
110	0.0029	99.9	0.0065	99.83	no improvement 4
111	0.0029	99.9	0.0038	99.89	improved
112	0.0033	99.88	0.0043	99.84	no improvement 1
113	0.0028	99.91	0.0055	99.86	no improvement 2
114	0.0034	99.88	0.0043	99.86	no improvement 3
115	0.0027	99.91	0.0077	99.82	no improvement 4
116	0.0035	99.89	0.0046	99.83	no improvement 5
117	0.0028	99.9	0.0062	99.79	no improvement 6
118	0.0025	99.92	0.0067	99.86	no improvement 7
119	0.0033	99.88	0.0056	99.83	no improvement 8
120	0.0026	99.91	0.0074	99.79	no improvement 9
121	0.0032	99.9	0.0069	99.78	no improvement 10
122	0.0025	99.91	0.0085	99.78	no improvement 11
123	0.0028	99.91	0.0064	99.84	no improvement 12
124	0.002	99.92	0.0049	99.83	no improvement 13
125	0.0026	99.9	0.004	99.87	no improvement 14
126	0.0024	99.93	0.0059	99.83	no improvement 15
127	0.002	99.93	0.0065	99.82	no improvement 16
128	0.0029	99.91	0.0046	99.86	no improvement 17
129	0.0023	99.92	0.0064	99.83	no improvement 18
130	0.0029	99.9	0.0064	99.81	no improvement 19
131	0.0022	99.92	0.0055	99.84	no improvement 20

